year,month,naics,description,customs_value,calculated_duties
2025,3,980,GOODS RETURNED (EXPORTS FOR CANADA ONLY),9700461161,5892287
2025,3,990,OTHER SPECIAL CLASSIFICATION PROVISIONS,2880163147,373512
2025,4,111,AGRICULTURAL PRODUCTS,5126448576,103525233
2025,4,112,LIVESTOCK & LIVESTOCK PRODUCTS,1113854431,28672716
2025,4,113,"FORESTRY PRODUCTS, NESOI",305079734,14987150
2025,4,114,"FISH, FRESH/CHILLED/FROZEN & OTHER MARINE PRODUCTS",1208292121,35879850
2025,4,115,PRODUCTS SUPPORTING AGRICULTURE AND FORESTRY ,8670756,478616
2025,4,211,OIL & GAS,11863737736,9133428
2025,4,212,MINERALS & ORES,487018730,3417089
2025,4,311,FOOD & KINDRED PRODUCTS,10231680493,430428184
2025,4,312,BEVERAGES & TOBACCO PRODUCTS,2549964306,48308184
2025,4,313,TEXTILES & FABRICS,730089803,76212076
2025,4,314,TEXTILE MILL PRODUCTS,1883905877,341364975
2025,4,315,APPAREL & ACCESSORIES,6662322110,1350917490
2025,4,316,LEATHER & ALLIED PRODUCTS,3599215620,687337683
2025,4,321,WOOD PRODUCTS,2124798212,75440861
2025,4,322,PAPER,2087174756,109220982
2025,4,323,"PRINTED MATTER AND RELATED PRODUCTS, NESOI",439526141,29009758
2025,4,324,PETROLEUM & COAL PRODUCTS,5064855979,15947946
2025,4,325,CHEMICALS,36441118159,769094435
2025,4,326,PLASTICS & RUBBER PRODUCTS,6574588893,698261150
2025,4,327,NONMETALLIC MINERAL PRODUCTS,2314247338,247757486
2025,4,331,PRIMARY METAL MFG,11476644267,854885330
2025,4,332,"FABRICATED METAL PRODUCTS, NESOI",7576986047,1565498409
2025,4,333,"MACHINERY, EXCEPT ELECTRICAL",20974390547,1905356974
2025,4,334,COMPUTER & ELECTRONIC PRODUCTS,51522923718,2131956810
2025,4,335,"ELECTRICAL EQUIPMENT, APPLIANCES & COMPONENTS",17247557390,2208985533
2025,4,336,TRANSPORTATION EQUIPMENT,34167282425,4871726380
2025,4,337,FURNITURE & FIXTURES,3578533166,450081241
2025,4,339,MISCELLANEOUS MANUFACTURED COMMODITIES,11091105148,1150572763
2025,4,910,WASTE AND SCRAP,716740128,4069755
2025,4,930,USED OR SECOND-HAND MERCHANDISE,1637396382,13233830
2025,4,980,GOODS RETURNED (EXPORTS FOR CANADA ONLY),9149223609,7388780
2025,4,990,OTHER SPECIAL CLASSIFICATION PROVISIONS,2791409964,1323491
2025,5,111,AGRICULTURAL PRODUCTS,4778918456,204813798
2025,5,112,LIVESTOCK & LIVESTOCK PRODUCTS,1053322829,57815074
2025,5,113,"FORESTRY PRODUCTS, NESOI",309060272,7705659
2025,5,114,"FISH, FRESH/CHILLED/FROZEN & OTHER MARINE PRODUCTS",1422720862,71629401
2025,5,115,PRODUCTS SUPPORTING AGRICULTURE AND FORESTRY ,6636326,476900
2025,5,211,OIL & GAS,12023423928,5286267
2025,5,212,MINERALS & ORES,457165489,14298943
2025,5,311,FOOD & KINDRED PRODUCTS,10562713923,795017415
2025,5,312,BEVERAGES & TOBACCO PRODUCTS,2506839178,118533055
2025,5,313,TEXTILES & FABRICS,708959805,105085160
2025,5,314,TEXTILE MILL PRODUCTS,1633097150,391720678
2025,5,315,APPAREL & ACCESSORIES,5837462602,1392252732
2025,5,316,LEATHER & ALLIED PRODUCTS,2828518147,694949846
2025,5,321,WOOD PRODUCTS,2166795260,105464800
2025,5,322,PAPER,2093171518,182387867
2025,5,323,"PRINTED MATTER AND RELATED PRODUCTS, NESOI",492238357,40950368
2025,5,324,PETROLEUM & COAL PRODUCTS,5612475474,22390482
2025,5,325,CHEMICALS,36935139370,1018998105
2025,5,326,PLASTICS & RUBBER PRODUCTS,6172381586,1046657091
2025,5,327,NONMETALLIC MINERAL PRODUCTS,2274294342,374171378
2025,5,331,PRIMARY METAL MFG,10541595539,947535104
2025,5,332,"FABRICATED METAL PRODUCTS, NESOI",7403569734,1793476973
2025,5,333,"MACHINERY, EXCEPT ELECTRICAL",19599369881,2502003493
2025,5,334,COMPUTER & ELECTRONIC PRODUCTS,54173864484,2053976139
2025,5,335,"ELECTRICAL EQUIPMENT, APPLIANCES & COMPONENTS",15826163269,2510884000
2025,5,336,TRANSPORTATION EQUIPMENT,38560038292,6966468593
2025,5,337,FURNITURE & FIXTURES,3256814511,532024393
2025,5,339,MISCELLANEOUS MANUFACTURED COMMODITIES,9779716951,1379688298
2025,5,910,WASTE AND SCRAP,733708215,9406086
2025,5,930,USED OR SECOND-HAND MERCHANDISE,1098863310,12208067
2025,5,980,GOODS RETURNED (EXPORTS FOR CANADA ONLY),9487593097,6646477
2025,5,990,OTHER SPECIAL CLASSIFICATION PROVISIONS,3067396734,1162441
2025,6,111,AGRICULTURAL PRODUCTS,4178755355,226132150
2025,6,112,LIVESTOCK & LIVESTOCK PRODUCTS,1055171505,74905375
2025,6,113,"FORESTRY PRODUCTS, NESOI",234770842,12971456
2025,6,114,"FISH, FRESH/CHILLED/FROZEN & OTHER MARINE PRODUCTS",1457192041,82279120
2025,6,115,PRODUCTS SUPPORTING AGRICULTURE AND FORESTRY ,6976261,354396
2025,6,211,OIL & GAS,11193081638,4856478
2025,6,212,MINERALS & ORES,454722813,14152857
2025,6,311,FOOD & KINDRED PRODUCTS,10092403334,874600769
2025,6,312,BEVERAGES & TOBACCO PRODUCTS,2464334223,147637676
2025,6,313,TEXTILES & FABRICS,670523676,101348026
2025,6,314,TEXTILE MILL PRODUCTS,1548888096,349579301
2025,6,315,APPAREL & ACCESSORIES,6737146624,1707697846
2025,6,316,LEATHER & ALLIED PRODUCTS,3189032894,758426739
2025,6,321,WOOD PRODUCTS,2020992979,93985989
2025,6,322,PAPER,2037341252,176687348
2025,6,323,"PRINTED MATTER AND RELATED PRODUCTS, NESOI",482117941,33761086
2025,6,324,PETROLEUM & COAL PRODUCTS,5617074679,28575969
2025,6,325,CHEMICALS,26853175394,990323096
2025,6,326,PLASTICS & RUBBER PRODUCTS,5921290423,882348612
2025,6,327,NONMETALLIC MINERAL PRODUCTS,2244905381,329915883
2025,6,331,PRIMARY METAL MFG,9779540308,1361099971
2025,6,332,"FABRICATED METAL PRODUCTS, NESOI",7025567701,1854702344
2025,6,333,"MACHINERY, EXCEPT ELECTRICAL",19277441337,2323218306
2025,6,334,COMPUTER & ELECTRONIC PRODUCTS,55354399520,1970176396
2025,6,335,"ELECTRICAL EQUIPMENT, APPLIANCES & COMPONENTS",16145583358,2238688864
2025,6,336,TRANSPORTATION EQUIPMENT,35632790732,6268965088
2025,6,337,FURNITURE & FIXTURES,3143269464,507508557
2025,6,339,MISCELLANEOUS MANUFACTURED COMMODITIES,10042668672,1236855734
2025,6,910,WASTE AND SCRAP,675468184,6349757
