date,pce_durables,pce_core_goods
1997-01-01,152.749,112.052
1997-02-01,152.939,112.089
1997-03-01,152.957,112.162
1997-04-01,151.8,112.147
1997-05-01,151.37,112.062
1997-06-01,151.054,111.712
1997-07-01,150.718,111.54
1997-08-01,150.314,111.102
1997-09-01,150.149,111.117
1997-10-01,150.112,111.119
1997-11-01,149.44,110.896
1997-12-01,149.112,110.746
1998-01-01,148.816,110.715
1998-02-01,148.346,110.569
1998-03-01,148.204,110.258
1998-04-01,148.278,110.519
1998-05-01,147.173,110.297
1998-06-01,146.592,109.942
1998-07-01,146.692,110.147
1998-08-01,146.196,110.214
1998-09-01,145.777,109.961
1998-10-01,145.561,109.871
1998-11-01,145.208,109.676
1998-12-01,144.633,109.934
1999-01-01,144.458,110.177
1999-02-01,143.91,109.791
1999-03-01,143.374,109.379
1999-04-01,143.556,109.891
1999-05-01,143.196,109.695
1999-06-01,142.841,109.661
1999-07-01,142.757,109.696
1999-08-01,142.527,109.47
1999-09-01,142.329,109.688
1999-10-01,142.068,109.614
1999-11-01,141.745,109.349
1999-12-01,141.259,109.223
2000-01-01,141.202,109.169
2000-02-01,140.81,109.015
2000-03-01,141.084,109.309
2000-04-01,140.871,109.459
2000-05-01,140.885,109.342
2000-06-01,140.446,109.075
2000-07-01,140.188,109.136
2000-08-01,139.611,108.879
2000-09-01,139.818,109.136
2000-10-01,139.555,108.872
2000-11-01,139.588,109.067
2000-12-01,139.463,108.897
2001-01-01,139.368,109.058
2001-02-01,138.902,108.986
2001-03-01,138.459,108.744
2001-04-01,138.267,108.775
2001-05-01,137.725,108.311
2001-06-01,137.777,108.456
2001-07-01,137.864,108.725
2001-08-01,137.203,108.188
2001-09-01,135.968,107.912
2001-10-01,136.562,107.986
2001-11-01,136.32,108.037
2001-12-01,136.126,107.718
2002-01-01,135.755,107.557
2002-02-01,134.926,107.473
2002-03-01,134.743,107.29
2002-04-01,134.641,107.593
2002-05-01,134.569,107.335
2002-06-01,134.177,107.253
2002-07-01,133.991,107.146
2002-08-01,133.748,107.198
2002-09-01,133.633,107.052
2002-10-01,133.411,106.784
2002-11-01,132.913,106.574
2002-12-01,132.379,106.281
2003-01-01,131.567,105.895
2003-02-01,131.153,105.616
2003-03-01,130.858,105.35
2003-04-01,130.489,105.229
2003-05-01,129.664,104.764
2003-06-01,129.144,104.614
2003-07-01,128.949,104.767
2003-08-01,128.375,104.474
2003-09-01,128.036,104.303
2003-10-01,127.584,104.092
2003-11-01,127.258,103.906
2003-12-01,126.999,103.803
2004-01-01,127.13,103.895
2004-02-01,127.197,104.026
2004-03-01,127.182,104.135
2004-04-01,127.217,104.212
2004-05-01,127.026,104.193
2004-06-01,126.945,104.197
2004-07-01,126.521,103.966
2004-08-01,125.863,103.617
2004-09-01,125.893,103.678
2004-10-01,126.202,103.983
2004-11-01,126.264,104.055
2004-12-01,126.329,103.911
2005-01-01,126.143,104.007
2005-02-01,125.965,103.937
2005-03-01,125.868,103.952
2005-04-01,125.794,103.84
2005-05-01,126.056,104.07
2005-06-01,125.591,103.833
2005-07-01,125.16,103.677
2005-08-01,124.73,103.556
2005-09-01,124.826,103.576
2005-10-01,124.719,103.624
2005-11-01,124.62,103.715
2005-12-01,124.506,103.672
2006-01-01,124.402,103.704
2006-02-01,124.121,103.49
2006-03-01,123.75,103.624
2006-04-01,123.763,103.73
2006-05-01,123.615,103.732
2006-06-01,123.165,103.65
2006-07-01,123.175,103.482
2006-08-01,123.169,103.596
2006-09-01,122.549,103.519
2006-10-01,122.484,103.416
2006-11-01,122.192,103.098
2006-12-01,121.861,103.049
2007-01-01,121.655,103.159
2007-02-01,121.647,103.187
2007-03-01,121.325,102.992
2007-04-01,121.035,102.831
2007-05-01,120.922,102.769
2007-06-01,120.929,102.673
2007-07-01,120.543,102.588
2007-08-01,119.998,102.329
2007-09-01,119.846,102.352
2007-10-01,119.849,102.504
2007-11-01,119.688,102.528
2007-12-01,119.337,102.563
2008-01-01,119.423,102.691
2008-02-01,119.236,102.561
2008-03-01,119.207,102.595
2008-04-01,118.722,102.478
2008-05-01,118.439,102.336
2008-06-01,118.371,102.36
2008-07-01,118.412,102.483
2008-08-01,118.154,102.558
2008-09-01,117.826,102.51
2008-10-01,117.719,102.399
2008-11-01,117.29,102.289
2008-12-01,116.852,102.071
2009-01-01,116.767,102.138
2009-02-01,116.772,102.52
2009-03-01,116.432,102.933
2009-04-01,116.481,103.469
2009-05-01,116.319,103.443
2009-06-01,116.256,103.517
2009-07-01,115.67,103.361
2009-08-01,115.202,103.249
2009-09-01,115.508,103.599
2009-10-01,115.895,103.745
2009-11-01,115.964,103.678
2009-12-01,115.703,103.637
2010-01-01,115.555,103.579
2010-02-01,115.146,103.516
2010-03-01,114.98,103.495
2010-04-01,114.54,103.179
2010-05-01,114.227,103.015
2010-06-01,113.84,102.886
2010-07-01,113.337,102.665
2010-08-01,113.422,102.719
2010-09-01,113.305,102.729
2010-10-01,113.132,102.619
2010-11-01,113.094,102.662
2010-12-01,112.774,102.55
2011-01-01,112.994,102.77
2011-02-01,113.135,102.923
2011-03-01,112.914,102.874
2011-04-01,113.18,103.142
2011-05-01,113.29,103.362
2011-06-01,113.426,103.503
2011-07-01,113.373,103.569
2011-08-01,113.24,103.673
2011-09-01,112.741,103.567
2011-10-01,112.773,103.671
2011-11-01,112.656,103.837
2011-12-01,112.558,103.837
2012-01-01,112.684,104.022
2012-02-01,112.548,103.978
2012-03-01,112.29,104.102
2012-04-01,112.001,104.046
2012-05-01,111.94,104.008
2012-06-01,111.596,103.888
2012-07-01,111.429,103.881
2012-08-01,111.212,103.667
2012-09-01,110.967,103.714
2012-10-01,110.867,103.808
2012-11-01,110.849,103.78
2012-12-01,110.753,103.594
2013-01-01,110.738,103.707
2013-02-01,110.647,103.572
2013-03-01,110.248,103.348
2013-04-01,109.912,103.251
2013-05-01,109.788,103.133
2013-06-01,109.735,103.141
2013-07-01,109.489,103.118
2013-08-01,109.112,103.009
2013-09-01,109.037,102.959
2013-10-01,108.882,102.916
2013-11-01,108.72,102.88
2013-12-01,108.308,102.682
2014-01-01,108.041,102.618
2014-02-01,107.698,102.489
2014-03-01,107.377,102.37
2014-04-01,107.286,102.393
2014-05-01,106.893,102.36
2014-06-01,106.762,102.435
2014-07-01,106.748,102.455
2014-08-01,106.601,102.219
2014-09-01,106.441,102.3
2014-10-01,106.328,102.315
2014-11-01,105.817,102.02
2014-12-01,105.262,101.825
2015-01-01,104.93,101.56
2015-02-01,105.164,101.694
2015-03-01,105.051,101.761
2015-04-01,105.212,101.87
2015-05-01,105.137,101.844
2015-06-01,104.971,101.683
2015-07-01,104.672,101.54
2015-08-01,104.311,101.374
2015-09-01,104.428,101.502
2015-10-01,104.143,101.318
2015-11-01,103.808,101.24
2015-12-01,103.573,101.109
2016-01-01,103.528,101.007
2016-02-01,103.402,101.136
2016-03-01,103.078,101.028
2016-04-01,103.45,101.251
2016-05-01,103.112,101.054
2016-06-01,102.49,100.824
2016-07-01,102.153,100.681
2016-08-01,101.912,100.778
2016-09-01,101.825,100.91
2016-10-01,101.603,100.804
2016-11-01,100.88,100.362
2016-12-01,100.611,100.2
2017-01-01,101.088,100.468
2017-02-01,101.059,100.548
2017-03-01,100.709,100.43
2017-04-01,100.574,100.313
2017-05-01,100.377,100.082
2017-06-01,100.109,100.031
2017-07-01,99.759,100.017
2017-08-01,99.514,99.829
2017-09-01,99.171,99.631
2017-10-01,99.471,99.806
2017-11-01,99.185,99.484
2017-12-01,98.985,99.361
2018-01-01,99.324,99.708
2018-02-01,99.039,99.722
2018-03-01,98.908,99.761
2018-04-01,99.09,99.937
2018-05-01,98.91,99.946
2018-06-01,98.532,99.673
2018-07-01,98.613,99.564
2018-08-01,98.351,99.159
2018-09-01,98.124,99.142
2018-10-01,98.174,99.255
2018-11-01,98.271,99.261
2018-12-01,98.259,99.105
2019-01-01,98.627,99.467
2019-02-01,98.562,99.288
2019-03-01,98.197,99.141
2019-04-01,97.869,99.053
2019-05-01,97.832,99.048
2019-06-01,98.148,99.176
2019-07-01,97.475,98.991
2019-08-01,97.304,98.998
2019-09-01,97.33,98.879
2019-10-01,97.295,98.92
2019-11-01,97.018,98.771
2019-12-01,96.572,98.65
2020-01-01,96.613,98.676
2020-02-01,97.008,98.836
2020-03-01,96.707,98.497
2020-04-01,96.01,97.809
2020-05-01,96.02,97.528
2020-06-01,95.685,97.516
2020-07-01,96.266,98.047
2020-08-01,97.195,98.593
2020-09-01,97.259,98.475
2020-10-01,97.497,98.467
2020-11-01,97.619,98.615
2020-12-01,97.888,98.745
2021-01-01,97.88,99.047
2021-02-01,97.935,98.908
2021-03-01,98.248,99.059
2021-04-01,99.729,100.191
2021-05-01,101.369,101.096
2021-06-01,102.595,101.716
2021-07-01,102.93,101.99
2021-08-01,103.814,102.457
2021-09-01,103.839,102.565
2021-10-01,105.188,103.596
2021-11-01,105.807,104.129
2021-12-01,106.855,104.898
2022-01-01,108.135,105.883
2022-02-01,108.485,106.487
2022-03-01,108.208,106.469
2022-04-01,108.19,106.555
2022-05-01,108.528,106.881
2022-06-01,109.107,107.534
2022-07-01,108.835,107.603
2022-08-01,109.369,108.192
2022-09-01,109.774,108.442
2022-10-01,109.469,108.453
2022-11-01,108.821,108.222
2022-12-01,108.584,108.227
2023-01-01,108.888,108.715
2023-02-01,108.922,108.918
2023-03-01,108.793,109.143
2023-04-01,108.833,109.223
2023-05-01,108.994,109.554
2023-06-01,108.586,109.361
2023-07-01,107.864,108.876
2023-08-01,107.471,108.798
2023-09-01,107.342,108.693
2023-10-01,107.206,108.866
2023-11-01,106.659,108.465
2023-12-01,106.196,108.186
2024-01-01,106.401,108.146
2024-02-01,106.666,108.486
2024-03-01,106.76,108.598
2024-04-01,106.529,108.658
2024-05-01,105.603,108.435
2024-06-01,105.548,108.491
2024-07-01,105.314,108.425
2024-08-01,105.164,108.285
2024-09-01,105.385,108.33
2024-10-01,105.427,108.395
2024-11-01,105.364,108.264
2024-12-01,104.852,107.966
2025-01-01,105.175,108.397
2025-02-01,105.602,108.844
2025-03-01,105.55,108.558
2025-04-01,106.066,108.87
2025-05-01,106.088,109.139
2025-06-01,106.59,109.569
2025-07-01,106.46,109.568
2025-08-01,106.374,109.445
2025-09-01,106.306,109.638
2025-10-01,106.383,109.635
2025-11-01,106.42,109.613
2025-12-01,107.003,110.089
2026-01-01,107.444,110.418
