nipa_line,pce_category,type,is_food_energy,direct_share,total_share
80,Other recreational services,NA,NA,0.022634124728347072,0.21001272692832285
83,Purchased meals and beverages,NA,NA,3.7641319542903957e-4,0.035742123570475313
84,Food furnished to employees,NA,NA,0.07000967443781017,0.12461008237332141
85,Accommodations,NA,NA,0,0.01635020574411826
88,Financial services furnished without payment,NA,NA,0.0030253741675007983,0.07628362203271946
89,"Financial service charges, fees, and commissions",NA,NA,0.0017698076801282551,0.0787625371583734
9,Furniture and furnishings,durable,FALSE,0.18202473894213383,0.2335687380579514
91,Life insurance,NA,NA,0.05840361848439173,0.20604146493393283
92,Net household insurance,NA,NA,0.05840361848439173,0.20604146493393283
93,Net health insurance,NA,NA,0.05840361848439173,0.20604146493393283
94,Net motor vehicle and other transportation insurance,NA,NA,0.05840361848439173,0.20604146493393283
97,Telecommunication services,NA,NA,1.7217594637672517e-4,0.038143654323449926
98,Postal and delivery services,NA,NA,0.001145605331222308,0.055261263543870384
99,Internet access,NA,NA,1.7149327771570955e-4,0.038099563819752595
