date,total_employment,I_t_2025,I_t_recent,I_t_2025_direct,I_t_recent_direct,n_industries,year,month,I_t_2025_pct,I_t_recent_pct,I_t_2025_direct_pct,I_t_recent_direct_pct
1997-02-01,109161.4,706.0883950079343,923.6418312525335,238.79085749643076,326.5876290969899,64,1997,2,0.64682973560978,0.846124940915501,0.2187502702387756,0.2991786740523572
1997-03-01,109614.6,707.2360484944909,925.1275168960218,239.58580253802452,327.6564114337391,64,1997,3,0.6452024169175373,0.8439820214606647,0.21857106857847813,0.29891676057180255
1997-04-01,110087.9,707.9754071035787,926.087288548229,240.21992667795016,328.50788331310747,64,1997,4,0.643100111005459,0.8412253195385043,0.21820738398856745,0.29840507749998635
1997-05-01,110440.6,708.790868897921,927.1272956551524,240.80458154664552,329.28848564859646,64,1997,5,0.6417846959342135,0.8394804950852788,0.2180399070148528,0.29815890682285
1997-06-01,110791.5,709.8106731138665,928.384999459687,241.3289220445345,329.999715712513,64,1997,6,0.6406725002494474,0.8379568824861898,0.21782259653902553,0.2978565284453347
1997-07-01,111120,710.1948820280338,928.809426094991,241.77085068612132,330.57406563183247,64,1997,7,0.6391242638841197,0.8358616145563275,0.21757635950874848,0.29749285963987804
1997-08-01,111175.8,712.5149670816938,931.6970374985494,242.2943845490881,331.3048943408101,64,1997,8,0.6408903440152387,0.8380394271941821,0.21793806255416026,0.29800090877763874
1997-09-01,111602.5,713.4314658265503,932.9618794457248,242.98430025073952,332.2411319756129,64,1997,9,0.6392611866459535,0.835968620277973,0.21772299030105913,0.29770043858839446
1997-10-01,111978.8,715.4188756311905,935.5167894864653,243.72498655711254,333.2528380422075,64,1997,10,0.638887785572975,0.8354409847993238,0.21765279370480176,0.29760350891615867
1997-11-01,112238.7,717.2403285636717,937.8146213292945,244.31097394631288,334.0570546070939,64,1997,11,0.6390312152258283,0.8355537094863844,0.21767088708824398,0.2976309014690066
1997-12-01,112493.8,718.5987518574805,939.6103601406219,244.9279198312486,334.89167658785334,64,1997,12,0.6387896505029437,0.8352552408582712,0.2177257056222197,0.29769789676218006
1998-01-01,112491,719.7091929972926,941.0929955660557,245.18259771419434,335.2316334258836,64,1998,1,0.6397926883015465,0.8365940346926026,0.21795752345893835,0.2980075147575216
1998-02-01,112772.7,720.2849985167601,941.823225376493,245.63898835263288,335.8530822700764,64,1998,2,0.638705110826255,0.8351517923899073,0.21781777713279268,0.2978141715770541
1998-03-01,113012.3,720.4570132212505,942.0595622734429,245.81995503544343,336.11185507822233,64,1998,3,0.6375031861321736,0.8335902926260618,0.21751610668523996,0.29741174640125223
1998-04-01,113420.8,721.1393175033703,943.0118265401181,246.71401833937256,337.31079416568895,64,1998,4,0.6358087030803612,0.8314275922406809,0.2175209647078601,0.29739765031254317
1998-05-01,113804.1,721.3243167571508,943.2705628141209,247.2889525367572,338.07246055645805,64,1998,5,0.633829815232624,0.8288546395201235,0.21729353559033215,0.2970652731812457
1998-06-01,114209.7,721.3860824417852,943.387735820514,247.8912275522862,338.874214739945,64,1998,6,0.6316329369937801,0.8260136711859973,0.21704918895005085,0.29671228865844584
1998-07-01,114308.2,714.037029958192,934.8387760916075,247.18340042637314,337.84652175332303,64,1998,7,0.6246594994568999,0.8178230224004993,0.21624292957668229,0.29555755558509633
1998-08-01,114682.3,720.73893889592,942.5773648029174,248.59212227539555,339.80079486533424,64,1998,8,0.6284657169379407,0.8219030877501736,0.21676590221454883,0.29629750612372985
1998-09-01,114791.2,720.8340562371411,942.6814248752329,248.72970940815705,339.97885511271346,64,1998,9,0.6279523658931531,0.8212140171678952,0.2166801195633089,0.29617153153962456
1998-10-01,115095.7,719.869428885719,941.3550632862374,249.032782822185,340.34436173064233,64,1998,10,0.625452930809508,0.817888994364027,0.21637018830606616,0.29570554045949793
1998-11-01,115299.9,718.4968995228276,939.6029858871058,249.1373401242725,340.4471853311723,64,1998,11,0.6231548331983181,0.8149209026955841,0.21607767233473102,0.29527101526642463
1998-12-01,115584.2,718.8270147879784,940.1272439243459,249.7506207170874,341.26051289562093,64,1998,12,0.6219076783747073,0.8133700314786502,0.21607678274114228,0.2952484101595382
