date,dv_canada,dv_mexico,dv_china,dv_eu,dv_world,m_canada,m_mexico,m_china,m_eu,m_world,share_canada,share_mexico,share_china,share_eu,dv_row,m_row,share_row
2004-12-01,580590,578274,7011391,9086465,38359428,20825.5,12525.6,17412,25447.2,126617,2.7878802429713576,4.616736922782142,40.26757983000229,35.70713084347197,21102708,50406.7,41.86488700906824
2005-01-01,678581,720595,8075657,7849180,37430684,21839.5,12073.9,17885.8,21997.6,122900,3.107126994665629,5.968204142820464,45.15122052130741,35.68198348910791,20106671,49103.200000000004,40.94778140732171
2005-02-01,616173,632565,7810429,8241059,37043131,21502.5,12607.1,16937.6,23647.1,122233,2.8655877223578656,5.017529804633897,46.11296169469111,34.85018881807917,19742905,47538.69999999999,41.53017436320304
2005-03-01,609667,630139,6912663,9007737,39749885,24009.5,14114.4,16184.9,26257.6,135451,2.5392740373602116,4.464511420960155,42.71056972857416,34.305256382913896,22589679,54884.60000000001,41.158501656202276
2005-04-01,812341,616393,7983575,8812948,39652280,23458,14281.7,18148.5,25706.3,135456,3.4629593315713194,4.315963785823816,43.99027467834807,34.28322240073445,21427023,53861.5,39.78170492838113
2005-05-01,795723,582088,8490616,9186723,40180487,23527.7,14413.5,19053.2,26691.3,136191,3.382068795504873,4.0384916918166995,44.562677135599266,34.41841723707725,21125337,52505.3,40.23467535658305
2005-06-01,650414,592378,9767613,9191132,42972413,23672.2,14848.6,20976.7,26425.8,141426,2.747585775720043,3.9894535511765423,46.56410684235365,34.780903510962766,22770876,55502.7,41.0266095162938
2005-07-01,616591,595138,9565225,9453437,43569400,21087.3,12710.2,21272.7,26425.8,136515,2.923992165900803,4.68236534436909,44.96479055315028,35.77351300622876,23339009,55019,42.41990766826005
2005-08-01,617783,659619,10119997,9494980,44765870,25041.3,14895.6,22421.3,25534.3,146397,2.4670564227895517,4.428280834608877,45.13563887910157,37.18519794942489,23873491,58504.499999999985,40.80624738267998
2005-09-01,652393,624559,9912514,8820302,43980345,25949.9,14517.6,23294.5,24951.4,146216,2.5140482236925767,4.302081611285612,42.55302324583056,35.34992826053848,23970577,57502.6,41.68607506443187
2005-10-01,689943,683848,10077826,10587207,48062176,27725,15720.3,24382.9,27799.9,156162,2.488522993688007,4.3500950999662855,41.331531524141916,38.08361540868852,26023352,60533.89999999999,42.98971650595782
2005-11-01,662740,675067,8830282,10342451,44500340,26382.7,15499.1,22426.1,27795.4,150245,2.5120249254246154,4.355523869127885,39.37502285283665,37.20921807205508,23989800,58141.700000000004,41.260919443359924
2005-12-01,662142,589875,8217687,9980425,43614850,26188.6,14426.7,20486,26395.5,144262,2.5283596679471225,4.0887729002474575,40.1136727521234,37.81108522285995,24164721,56765.2,42.56960426458464
2006-01-01,726176,695875,9366058,8745824,42976308,25965.9,15227.9,21382.5,24878.4,144562,2.796652532744869,4.5697371272466984,43.802445925406296,35.154286449289344,23442375,57107.30000000001,41.04969942546749
