date,jcdmvnm,jcdmvum,jcdmtm,jcdffm,jcdfkm,jcdfgm,jcdfosm,jcdrgtm,jcdrsm,jcdrsvm,jcdrbm,jcdftim,jcdojm,jcdoom,jcdebm,jcdolm,jcdotm,jcnfobm,jcnfolm,jcnfefm,jcnlffm,jcnlmfm,jcnlfim,jcnlom,jcngm,jcnofm,jcnodm,jcnrm,jcnolm,jcnopm,jcnotm,jcnmom,jctgm,jcgxfem,jcdm
1997-02-01,97.75,113.077,73.685,142.333,132.803,145.826,106.702,821,146.562,85.613,104.047,100.595,88.732,82.135,34.152,159.431,1614.443,67.141,74.479,76.128,116.097,111.968,111.002,96.008,51.864,42.232,53.721,144.974,103.48,91.91,27.778,73.042,93.804,112.089,152.939
1997-03-01,97.853,113.845,73.416,142.71,132.464,143.087,106.866,810.25,147.14,85.795,104.248,100.004,88.794,82.223,34.27,169.826,1620.017,66.966,74.489,76.105,116.041,111.667,113.184,96.135,50.813,40.895,53.917,145.484,102.971,92.044,27.899,73.481,93.64,112.162,152.957
1997-04-01,97.737,112.175,73.16,143.111,130.539,145.889,106.316,787.645,146.356,85.53,103.769,99.154,86.98,82.537,34.407,166.739,1626.505,67.024,74.561,75.971,117.304,113.748,116.893,96.35,49.597,40.04,53.917,145.523,103.745,92.655,28.472,73.473,93.481,112.147,151.8
1997-05-01,97.505,111.856,73.229,144.082,130.341,143.851,106.199,777.423,145.277,85.309,103.607,99.228,87.009,82.51,34.616,165.195,1636.345,67.082,74.666,76.591,118.011,113.976,117.404,96.553,47.66,39.849,54.027,144.874,103.782,92.468,28.556,73.549,93.202,112.062,151.37
1997-06-01,97.405,110.524,73.213,143.812,131.086,142.91,106.104,772.571,146.061,85.335,103.815,99.422,88.155,82.466,34.889,162.107,1649.288,67.182,74.577,76.967,117.835,113.061,116.387,95.543,47.128,39.664,54.095,144.104,103.221,92.205,28.22,73.656,92.956,111.712,151.054
1997-07-01,97.475,110.45,73.535,143.111,130.333,143.686,106.318,762.168,145.213,85.584,103.182,99.279,88.229,82.937,35.043,161.695,1656.545,67.261,74.585,77.012,116.932,113.294,114.731,95.835,47.054,39.086,54.065,143.493,104.209,91.848,28.266,73.71,92.863,111.54,150.718
1997-08-01,97.393,110.502,73.278,142.242,130.213,144.191,106.365,750.375,146.176,85.483,105.321,99.627,86.576,82.897,35.297,168.18,1668.571,67.413,74.758,77.19,114.746,113.241,111.024,96.152,49.29,38.725,53.877,143.077,103.334,91.799,28.391,73.551,92.936,111.102,150.314
1997-09-01,97.286,111.26,73.186,142.214,130.451,145.992,106.701,744.23,146.446,85.418,105.491,99.411,86.347,82.922,35.182,157.887,1663.108,67.453,74.749,77.774,115.17,113.667,110.554,96.365,50.111,38.437,53.88,142.444,103.084,91.969,28.662,73.715,93.053,111.117,150.149
1997-10-01,97.418,112.546,73.03,142.125,129.791,146.98,106.457,736.148,145.842,85.48,104.85,99.117,86.25,83.084,35.231,157.887,1665.445,67.501,74.75,76.67,114.404,113.171,110.302,96.878,49.92,38.409,53.898,142.958,102.851,92.493,29.021,73.566,93.042,111.119,150.112
1997-11-01,97.196,111.4,72.987,141.565,129.569,145.681,105.944,730.385,145.932,84.996,104.757,98.948,85.649,83.022,35.35,157.681,1671.08,67.6,74.525,77.023,115.046,113.064,110.023,95.884,48.837,38.311,53.975,142.661,102.68,93.326,28.988,73.657,92.794,110.896,149.44
1997-12-01,96.908,110.853,72.779,141.712,129.797,146.924,105.091,722.564,145.958,85.17,104.927,98.569,86.023,83.272,35.514,156.137,1678.822,67.552,74.643,77.556,114.655,113.688,110.134,96.264,48.402,38.202,54.252,142.08,101.955,92.781,28.938,74.003,92.641,110.746,149.112
1998-01-01,96.918,110.424,72.818,141.645,131.038,147.269,105.474,708.907,146.98,85.77,104.885,98.657,85.734,83.753,35.492,156.549,1677.75,67.861,74.735,74.403,114.127,113.219,108.508,96.351,46.508,36.938,54.29,143.776,102.299,93.461,29.12,74.265,92.456,110.715,148.816
1998-02-01,97.053,109.789,72.872,141.713,131.043,145.865,105.254,695.835,146.98,85.303,105.231,98.411,86.139,83.686,35.725,156.343,1655.852,67.738,74.572,72.102,113.169,112.032,107.914,94.992,44.935,36.165,54.387,143.649,103.636,93.852,29.86,74.611,92.123,110.569,148.346
1998-03-01,97.18,108.88,72.699,142.752,128.731,147.849,105.723,693.881,146.513,84.917,106.354,98.736,85.128,83.612,35.919,157.27,1632.269,67.852,74.606,70.9,112.483,112.52,107.949,94.142,43.032,36.068,54.434,142.077,103.516,93.813,28.911,74.717,91.737,110.258,148.204
1998-04-01,97.206,109.459,72.191,143.846,129.073,150.414,104.703,687.331,144.28,85.142,107.403,99.564,85.26,83.933,36.162,156.24,1640.691,67.913,74.784,69.561,112.28,111.662,108.73,94.037,41.981,35.752,54.845,142.787,104.238,93.658,29.903,74.99,91.778,110.519,148.278
1998-05-01,96.74,108.13,72.216,142.792,129.218,148.609,104.075,673.591,143.988,84.984,107.529,99.929,84.573,84.255,36.352,154.079,1613.739,68.01,74.789,70.613,113.33,111.229,109.889,95.045,42.792,35.917,55.144,141.658,104.207,93.99,30.551,74.949,91.779,110.297,147.173
1998-06-01,96.408,107.681,72.582,142.752,128.745,150.219,103.948,664.273,143.885,85.09,107.624,99.968,83.026,84.318,36.356,151.917,1607.001,68.037,74.943,70.525,113.122,111.544,108.546,95.597,43.429,35.685,55.227,141.408,102.98,93.915,30.054,74.91,91.659,109.942,146.592
1998-07-01,96.915,108.948,72.596,143.266,129.412,151.669,103.382,651.375,143.927,85.486,107.613,99.614,83.109,83.856,36.516,149.941,1605.317,68.158,74.884,67.858,113.143,111.849,108.447,95.152,43.361,35.716,55.33,141.473,103.756,93.703,30.757,75.192,91.802,110.147,146.692
1998-08-01,97.351,108.673,72.596,142.536,128.845,148.997,103.389,637.922,142.987,85.771,108.746,98.943,83.41,83.992,36.359,151.3,1585.103,68.374,74.966,67.974,115.35,112.773,110.638,95.587,42.36,35.439,55.587,140.961,104.054,93.356,30.628,75.271,91.777,110.214,146.196
1998-09-01,97.086,109.655,72.605,142.194,128.861,146.203,102.561,631.335,140.604,85.736,108.956,99.328,82.857,84.113,36.782,150.353,1585.103,68.265,75.178,65.787,112.593,112.107,109.625,95.402,42.081,34.499,55.876,139.251,104.323,93.904,31.649,75.609,91.56,109.961,145.777
1998-10-01,96.747,109.783,72.974,142.309,129.017,148.091,101.916,624.528,140.563,85.603,108.253,98.983,83.508,84.339,37.141,147.399,1549.729,68.606,75.339,66.706,112.312,112.568,112.707,94.116,42.462,34.035,55.998,138.857,103.973,93.876,31.724,75.918,91.644,109.871,145.561
1998-11-01,96.953,110.12,72.8,142.094,128.35,147.535,101.75,612.966,141.092,86.495,106.91,97.928,83.612,84.402,37.294,143.056,1544.675,68.71,75.432,65.145,112.262,112.923,113.502,94.559,41.918,33.595,56.003,139.004,103.81,93.341,31.275,75.752,91.489,109.676,145.208
1998-12-01,97.018,109.458,72.681,142.599,127.208,145.914,102.2,604.837,140.197,86.951,107.025,97.918,82.471,84.095,37.422,141.151,1521.093,68.667,75.593,59.89,111.653,111.477,112.447,94.033,40.98,32.754,56.214,137.998,103.802,93.295,36.445,75.856,91.515,109.934,144.633
1999-01-01,97.047,109.647,72.721,142.646,127.742,149.269,101.7,599.149,139.584,86.681,107.443,97.623,81.74,83.785,37.335,138.228,1524.462,68.963,75.656,64.67,110.996,111.221,113.231,93.905,40.712,32.289,56.325,138.297,104.261,93.937,38.875,75.839,91.705,110.177,144.458
1999-02-01,96.884,109.117,72.43,141.955,127.481,146.754,101.29,593.873,138.603,86.975,106.817,98.213,82.434,84.066,37.64,136.386,1510.986,68.957,76.019,64.403,109.925,111.733,110.62,92.933,39.941,31.959,56.491,138.659,104.216,93.939,38.171,75.644,91.394,109.791,143.91
1999-03-01,96.788,108.723,72.228,142.289,126.453,146.14,101.244,585.952,137.99,87.4,105.668,97.525,81.36,84.354,37.785,137.92,1475.611,68.888,75.804,64.175,109.862,111.221,108.531,93.111,41.151,32.259,56.708,138.474,103.52,94.46,36.671,75.876,91.271,109.379,143.374
1999-04-01,96.825,109.013,72.224,143.36,125.604,147.129,100.917,581.341,138.48,87.148,106.295,96.739,82.871,84.331,37.872,137.302,1467.189,69.019,76.074,62.947,110.951,112.33,110.097,93.494,46.295,33.163,57.108,138.441,104.454,94.593,38.095,75.659,92.237,109.891,143.556
1999-05-01,96.827,109.339,72.115,141.38,125.879,145.745,101.13,576.153,138.112,87.204,107.965,96.837,83.223,84.642,38.075,135.552,1438.553,69.129,76.308,63.411,111.437,112.159,110.184,92.578,45.532,33.875,57.287,138.157,104.399,94.601,37.512,75.828,92.081,109.695,143.196
1999-06-01,96.962,109.876,71.986,141.39,125.6,146.426,101.116,569.771,136.027,87.468,105.042,98.017,82.435,84.749,38.191,133.391,1418.339,69.122,76.395,64.474,111.563,112.5,110.881,92.463,45.12,34.545,57.538,138.36,104.762,95.585,37.158,76.056,92.025,109.661,142.841
1999-07-01,96.927,111.067,71.943,141.889,125.344,144.723,101.939,563.612,136.027,87.908,103.267,98.213,82.487,84.715,38.322,130.612,1413.285,69.174,76.659,63.477,110.735,111.903,113.318,93.033,47.002,35.673,57.853,136.396,105.23,95.242,38.433,76.027,92.306,109.696,142.757
1999-08-01,96.892,112.037,71.996,141.341,125.44,143.47,101.993,556.105,135.414,88.134,103.371,98.017,82.445,85.047,38.496,130.097,1386.334,69.277,76.76,66.522,111.059,110.624,113.579,92.09,49.453,36.712,58.166,135.657,105.006,95.397,37.686,76.273,92.5,109.47,142.527
1999-09-01,96.924,112.331,72.383,141.612,126.244,143.567,101.836,547.263,134.8,88.327,103.684,98.312,82.1,85.53,38.583,127.936,1379.596,69.481,76.977,67.071,111.113,111.733,114.014,91.665,51.152,38.44,58.287,133.727,105.302,95.649,40.118,76.576,92.908,109.688,142.329
1999-10-01,96.991,112.434,72.217,140.914,125.97,143.579,101.718,541.873,134.187,87.942,104.519,98.017,81.545,85.358,38.829,134.317,1369.489,69.543,76.979,67.968,111.599,111.989,113.84,91.418,51.28,39.14,58.485,134.031,104.895,95.796,39.943,76.215,92.905,109.614,142.068
1999-11-01,96.958,112.303,72.674,140.075,126.741,143.073,101.737,537.016,134.065,88.164,105.042,97.427,81.408,85.366,37.132,135.346,1342.537,69.712,77.368,68.777,111.14,111.306,113.666,91.653,50.701,39.982,58.773,132.829,104.808,95.858,39.447,76.014,92.75,109.349,141.745
1999-12-01,96.858,111.677,72.493,139.736,126.659,141.696,101.84,534.8,132.102,87.669,105.042,97.033,80.796,86.065,37.277,133.803,1340.852,69.783,77.683,67.269,111.167,112.5,115.407,91.26,53.244,41.761,58.946,133.296,104.98,95.262,39.25,76.103,93.013,109.223,141.259
2000-01-01,96.557,111.742,72.658,140.785,125.711,143.186,101.655,529.509,132.679,87.996,105.073,96.876,80.528,86.156,39.642,131.209,1341.863,69.838,77.796,67.574,110.06,112.245,116.277,91.185,54.097,44.42,59.032,132.774,104.882,95.661,39.756,76.209,93.129,109.169,141.202
2000-02-01,96.425,111.104,72.591,140.91,125.618,143.29,100.914,522.483,131.108,88.52,105.532,97.515,81.069,86.383,40.062,128.945,1341.021,70.041,77.991,68.399,109.538,111.818,116.364,91.196,55.917,57.454,58.999,133.268,104.464,95.615,40.467,76.289,93.448,109.015,140.81
2000-03-01,96.759,111.276,72.788,141.761,125.93,144.756,101.695,517.917,131.513,89.084,105.136,97.958,80.701,86.225,39.961,134.605,1327.376,70.207,78.402,68.359,109.781,111.392,115.494,91.533,61.992,50.312,59.249,134.628,104.962,96.235,40.798,76.146,94.259,109.309,141.084
2000-04-01,97.06,111.375,72.179,141.514,126.213,143.836,101.145,511.495,132.421,89.304,104.217,97.555,80.968,86.137,40.091,134.575,1322.66,70.229,78.546,70.766,109.178,110.539,114.101,91.663,58.59,48.397,59.448,135.108,106.783,96.054,42.465,76.573,93.969,109.459,140.871
2000-05-01,97.225,112.074,72.282,140.349,125.673,145.327,100.929,517.96,132.274,89.483,104.906,97.781,79.729,86.022,40.265,124.508,1311.374,70.651,78.462,69.225,108.917,111.051,114.101,91.713,57.411,48.469,59.58,135.121,106.884,95.753,41.2,76.425,93.87,109.342,140.885
2000-06-01,97.189,112.602,72.156,139.798,125.616,144.174,101.277,512.922,130.974,89.473,106.034,97.201,78.778,86.064,40.381,120.783,1300.256,70.637,78.839,69.346,108.7,110.795,114.71,91.473,62.667,49.365,59.727,134.719,106.875,96.152,40.547,76.297,94.302,109.075,140.446
2000-07-01,97.117,111.457,72.339,140.434,125.119,145.151,101.65,507.073,130.618,89.425,105.323,97.633,78.896,86.4,40.584,123.016,1292.171,71.04,79.019,69.305,108.953,110.368,114.188,90.185,62.003,50.52,59.885,134.385,108.094,96.309,41.691,76.554,94.389,109.136,140.188
2000-08-01,97.081,110.648,72.059,139.955,124.517,143.354,101.631,501.525,130.471,88.938,105.376,97.102,78.562,86.858,40.787,124.189,1249.385,71.282,79.194,67.423,109.025,110.795,112.186,89.983,58.663,50.833,60.115,134.238,108.547,96.694,40.884,76.256,93.938,108.879,139.611
2000-09-01,96.643,112.022,72.343,141.327,124.604,143.176,101.499,497.993,131.194,89.154,104.979,96.955,78.671,86.942,41.179,126.032,1251.406,71.318,79.053,67.915,109.475,110.539,111.403,91.814,62.383,56.396,60.226,133.118,108.452,96.638,42.206,76.117,94.564,109.136,139.818
2000-10-01,96.35,112.569,72.564,140.622,123.933,142.983,101.759,492.526,131.268,89.477,104.457,97.456,79.317,87.117,41.223,126.042,1237.93,71.318,79.273,68.671,110.33,108.918,112.012,90.824,61.715,57.307,60.386,133.474,108.259,96.202,40.913,76.448,94.348,108.872,139.555
2000-11-01,96.419,113.464,73.068,140.507,123.283,142.457,102.054,487.162,130.458,89.613,105.417,97.889,80.108,87.559,41.411,125.939,1220.411,71.344,79.498,69.53,109.619,109.601,111.577,91.015,61.361,57.808,60.52,133.04,109.127,96.565,42.264,76.373,94.448,109.067,139.588
2000-12-01,96.654,114.404,73.447,140.332,123.626,139.132,101.845,481.814,130.336,90.223,105.814,98.439,79.804,87.607,41.643,124.272,1192.954,71.779,79.69,71.238,109.259,109.515,111.055,91.331,60.737,58.866,60.835,132.667,108.769,97.494,40.671,76.503,94.405,108.897,139.463
2001-01-01,96.623,114.16,74.022,139.666,124.356,141.572,101.306,475.793,129.943,90.481,105.261,98.538,81.748,87.519,41.861,122.697,1188.406,71.828,79.799,72.099,109.844,109.259,111.49,91.069,60.816,57.568,61.135,132.856,109.444,97.334,41.339,76.735,94.511,109.058,139.368
2001-02-01,96.459,114.069,74.119,139.172,124.278,143.543,101.792,469.472,129.023,90.238,105.073,98.194,80.542,87.723,41.803,122.388,1199.018,72.332,79.83,72.569,110.384,108.918,112.796,91.426,60.151,55.001,61.491,133.049,108.792,97.344,41.652,76.864,94.491,108.986,138.902
2001-03-01,96.362,113.807,74.39,138.722,124.171,140.668,101.477,460.781,129.097,90.351,105.511,97.899,81.056,87.954,41.962,125.785,1195.986,72.473,79.823,75.063,110.906,107.639,113.057,91.413,58.583,52.567,61.827,132.139,107.832,97.565,41.439,77.053,94.181,108.744,138.459
2001-04-01,96.416,113.887,74.122,139.306,123.401,140.556,101.284,457.929,129.023,90.11,106.159,98.164,79.642,88.158,42.136,125.908,1176.615,72.527,79.96,75.759,109.295,107.468,113.318,90.302,59.691,52.044,62.03,132.996,108.995,97.542,42.978,77.039,94.328,108.775,138.267
2001-05-01,96.387,113.729,74.063,138.421,123.094,139.14,100.955,451.285,128.79,90.564,106.451,98.312,78.609,88.349,42.296,127.185,1176.783,72.65,80.087,75.463,107.224,108.065,113.144,90.494,64.987,51.966,62.3,132.917,108.517,96.224,42.279,76.954,94.642,108.311,137.725
2001-06-01,96.294,113.749,74.059,138.027,124.438,139.787,100.562,446.756,129.183,90.525,106.65,98.813,80.542,88.626,42.746,129.192,1164.655,72.955,80.28,77.147,107.476,107.724,112.186,90.158,63.549,52.624,62.628,132.962,109.152,96.953,42.361,77.074,94.672,108.456,137.777
2001-07-01,96.224,115.076,74.436,138.177,123.871,139.329,100.95,444.709,128.582,90.485,106.984,98.606,80.856,88.125,43.036,129.521,1143.767,73.187,80.493,76.542,106.99,107.127,112.012,91.238,57.192,51.451,62.876,132.425,109.378,97.281,44.236,77.52,94.221,108.725,137.864
2001-08-01,95.883,115.194,74.269,137.569,124.086,138.123,101.133,437.662,128.422,90.545,106.764,98.587,79.689,88.249,43.398,127.699,1124.227,73.432,80.639,76.605,105.982,106.445,111.925,90.945,55.986,51.142,63.096,132.584,109.256,96.985,42.413,77.692,93.825,108.188,137.203
2001-09-01,95.668,110.281,74.401,137.632,124.72,138.694,101.112,431.117,128.165,90.706,106.472,98.941,77.074,88.385,44.109,128.574,1123.217,73.371,80.931,75.567,105.973,106.018,112.534,90.374,60.815,52.062,63.347,132.753,109.686,97.395,44.175,77.838,94.165,107.912,135.968
2001-10-01,95.989,113.708,74.568,136.968,123.868,138.558,100.783,428.721,127.699,90.665,106.9,98.567,79.386,88.859,44.356,127.998,1122.037,73.734,81.009,71.478,105.01,106.445,112.273,90.607,54.659,49.428,63.527,133.023,109.691,97.293,42.602,77.467,93.627,107.986,136.562
2001-11-01,96.335,113.586,74.721,136.797,124.155,137.422,100.051,425.956,126.987,90.675,106.973,98.479,78.982,88.947,44.356,119.29,1104.013,73.679,81.064,68.47,104.776,106.104,112.708,89.916,48.799,47.519,63.698,132.704,110.769,97.292,44.083,77.57,93.025,108.037,136.32
2001-12-01,96.519,113.604,74.693,136.463,124.919,136.208,99.997,421.756,126.901,90.583,107.6,98.39,79.762,88.834,43.036,116.964,1094.075,73.562,80.919,66.978,104.758,105.08,111.403,89.247,46.576,44.468,64.007,132.065,110.049,97.378,42.415,77.694,92.531,107.718,136.126
2002-01-01,95.749,114.546,74.862,135.762,124.861,137.057,99.958,416.511,126.533,90.238,108.017,97.849,79.707,88.949,43.935,121.832,1083.463,73.877,81.291,68.945,104.544,105.165,110.446,87.967,47.191,43.125,64.214,132.903,109.957,97.339,42.328,77.701,92.575,107.557,135.755
2002-02-01,94.781,114.679,74.929,135.26,124.115,135.857,100.255,411.49,126.779,90.047,109.583,98.144,77.14,88.696,45.284,121.961,1079.242,74.072,81.555,69.714,105.175,104.909,110.881,89.123,46.793,42.336,64.501,132.681,109.43,97.524,43.942,77.992,92.534,107.473,134.926
2002-03-01,94.748,114.521,75.18,135.599,122.936,135.443,100.39,406.538,125.552,90.054,108.852,98.538,79.044,88.641,45.429,121.318,1070.294,74.245,81.281,68.536,104.994,105.421,111.229,90.231,50.487,43.188,64.677,132.355,109.111,97.258,42.387,77.907,92.842,107.29,134.743
2002-04-01,94.615,114.958,75.393,135.84,122.927,135.46,100.334,403.823,125.307,90.211,108.748,98.636,78.543,89.01,45.661,121.575,1038.669,74.484,81.571,64.852,105.084,104.995,110.881,90.109,54.124,44.686,64.874,132.101,110.521,97.449,45.125,78.172,93.485,107.593,134.641
2002-05-01,94.492,115.05,75.377,135.826,122.557,136.4,100.221,403.305,125.062,90.522,109.896,98.735,77.789,88.909,45.966,121.189,1024.055,73.904,81.816,61.524,104.634,103.971,110.097,90.614,54.457,45.193,65.155,130.921,109.836,97.074,43.912,78.105,93.236,107.335,134.569
2002-06-01,94.394,115.255,75.4,135.542,122.75,136.316,100.155,398.51,123.713,89.507,110.105,99.718,77.872,88.362,46.169,121.061,1016.362,73.801,81.921,61.513,104.094,103.63,110.097,89.784,54.587,45.428,65.376,129.852,109.352,97.496,45.712,78.223,93.181,107.253,134.177
2002-07-01,94.4,115.857,76.141,135.442,122.39,135.098,100.082,393.326,124.694,89.616,110.209,99.03,76.884,88.686,46.401,122.09,996.225,73.898,82.059,63.801,103.374,103.801,110.184,89.834,55.364,45.962,65.636,129.056,109.535,97.023,45.692,78.393,93.229,107.146,133.991
2002-08-01,94.304,116.153,76.321,135.058,121.998,132.313,100.033,392.819,125.062,89.823,109.374,98.636,76.721,88.285,46.488,120.546,989.462,73.859,82.241,62.404,105.084,103.971,110.184,89.543,55.921,46.48,65.717,128.166,109.089,96.84,46.768,78.114,93.319,107.198,133.748
2002-09-01,94.697,115.422,76.228,135.297,122.023,134.161,99.374,386.99,124.694,89.825,110,98.243,77.472,88.071,46.676,120.289,964.083,74.054,82.044,61.056,103.914,103.033,109.314,89.039,56.283,46.943,65.842,127.975,108.284,96.815,47.512,78.419,93.307,107.052,133.633
2002-10-01,94.829,114.811,75.908,135.192,123.08,133.399,98.53,383.853,124.449,90.483,110,98.144,77.447,88.081,46.618,120.031,961.408,73.935,82.44,60.236,103.464,102.521,109.053,89.241,58.72,48.213,66.053,127.331,108.1,96.937,46.025,78.655,93.384,106.784,133.411
2002-11-01,94.752,113.612,76.139,134.81,122.298,132.043,98.883,381.196,124.572,90.33,110.418,97.653,76.855,87.924,47.083,120.16,929.336,74.175,82.354,61.949,103.554,102.607,108.966,89.291,58.32,49.065,66.369,126.838,107.66,96.689,46.005,78.35,93.275,106.574,132.913
2002-12-01,94.57,113.134,75.837,134.206,121.662,129.315,98.479,378.965,124.572,90.078,109.27,97.259,76.6,88.543,47.054,120.546,919.783,74.169,82.522,62.568,103.193,102.095,109.14,89.199,58.145,50.194,66.516,126.398,106.866,96.181,46.211,78.768,93.092,106.281,132.379
2003-01-01,93.755,110.749,76.495,134.197,121.575,129.808,98.331,374.912,124.572,90.179,109.27,97.653,75.465,88.652,47.764,120.675,909.124,74.201,82.701,65.654,102.833,101.157,107.312,89.789,63.778,54.051,66.686,126.493,106.662,95.902,46.201,78.746,93.468,105.895,131.567
2003-02-01,93.492,109.773,76.693,134.245,120.991,130.519,98.45,370.781,124.326,89.984,109.165,97.554,75.761,88.452,47.967,120.675,897.155,74.59,82.601,65.445,102.653,100.986,106.442,89.064,69.089,61.007,66.583,126.333,105.758,96.039,46.23,78.625,93.985,105.616,131.153
2003-03-01,93.861,109.487,76.454,133.359,120.438,132.418,98.224,367.933,123.1,89.79,109.061,98.046,74.997,88.535,48.083,120.16,880.786,74.771,82.808,66.337,101.303,101.498,106.007,87.497,68.455,66.658,66.858,126.507,104.865,96.028,45.692,78.947,93.859,105.35,130.858
2003-04-01,93.553,109.021,76.366,133.796,119.095,132.174,97.862,364.762,122.61,89.846,108.957,98.243,75.252,88.436,48.141,119.645,873.824,74.799,82.775,68.066,101.122,100.815,105.833,86.962,62.233,57.68,66.896,126.173,106.469,96.535,45.761,78.65,93.081,105.229,130.489
2003-05-01,93.396,108.556,76.367,132.126,119.075,129.001,98.038,358.589,122.365,89.594,109.165,98.735,74.629,88.789,48.315,119.388,865.508,74.911,82.964,69.204,101.122,99.963,106.616,87.16,55.655,54.827,66.954,125.835,105.407,96.116,45.536,78.699,92.147,104.764,129.664
2003-06-01,93.199,107.701,76.239,131.932,119.184,126.774,97.709,353.4,123.468,89.651,108.017,98.636,75.074,89.08,48.548,119.259,842.202,75.442,83.03,71.869,101.663,99.792,106.355,88.124,56.044,53.62,66.973,125.915,105.897,96.115,45.331,78.628,92.205,104.614,129.144
2003-07-01,93.086,108.015,76.263,131.772,118.891,127.064,97.062,350.068,124.326,89.356,108.017,98.341,75.212,88.862,48.823,118.873,834.302,75.33,83.127,70.744,102.203,99.963,105.833,88.893,58.431,53.332,67.346,125.876,106.731,96.448,45.878,78.789,92.508,104.767,128.949
